Skill / pot,#,Player,Age,Team,ETV
69.5,,James McAteeM (CR),,,
73.4,215,Brazil,24,Brentford,€25.5M
76.7,,Igor ThiagoF (C),,,
68.1,216,Netherlands,24,West Ham,€25.4M
71,,"Crysencio SummervilleF, M (L)",,,
72,217,France,24,B'mouth,€25.2M
78.5,,"Adrien TruffertD, M (L)",,,
77.4,218,Argentina,27,West Ham,€25.2M
77.4,,Taty CastellanosF (C),,,
73.7,219,United States,27,B'mouth,€25.1M
76.6,,Tyler AdamsDM (C),,,
68.7,220,France,24,Chelsea,€25.1M
72.9,,Benoît BadiashileD (C),,,
75.5,221,Morocco,25,B'mouth,€24.9M
76.9,,"Amine AdliF (CL), M (L)",,,
70.7,222,Belgium,25,Brighton,€24.9M
74.1,,Maxim De CuyperD (L),,,
78.8,223,England,30,Everton,€24.8M
79.5,,"Jack GrealishF, M (L)",,,
61.9,224,Scotland,20,B'mouth,€24.7M
76.1,,"Ben Gannon-DoakF, M (R)",,,
67.1,225,France,28,West Ham,€24.7M
67.1,,Axel DisasiD (CR),,,
,226,Netherlands,25,Sunderland,€24.7M
72.4,,Lutsharel GeertruidaD (CR),,,
75.7,,,,,
73.7,227,England,28,West Ham,€24.7M
73.7,,"Aaron Wan-BissakaD, M (R)",,,
63.2,228,Spain,20,Sunderland,€24.6M
76.3,,Eliezer MayendaF (C),,,
74.9,229,England,26,B'mouth,€24.5M
75.6,,Marcus TavernierM (CRL),,,
69,230,Cote d'Ivoire,28,N. Forest,€24.4M
69,,"Ibrahim SangaréDM, M (C)",,,
77.6,231,Spain,28,Chelsea,€24.3M
79.2,,Robert SánchezGK,,,
72.9,232,Ireland,24,Everton,€24.1M
78.5,,Jake O'BrienD (CR),,,
72.5,233,Congo DR,21,Sunderland,€24M
87.8,,"Noah SadikiM, DM (C)",,,
51.7,234,Serbia,18,B'mouth,€23.8M
73.5,,Veljko MilosavljevicD (C),,,
74.1,235,Morocco,28,Man Utd,€23.7M
74.1,,"Noussair MazraouiD, M (R)",,,
67.6,236,Spain,20,B'mouth,€23.6M
81.8,,"Álex JiménezD, M (R)",,,
70.7,237,Northern Ireland,23,Sunderland,€23.5M
78.8,,Trai HumeD (RL),,,
72.9,238,England,28,Chelsea,€23.5M
73.6,,Tosin AdarabioyoD (C),,,
73.2,239,Nigeria,29,N. Forest,€23.4M
73.2,,Ola Aina D (R),,,
71.8,240,Netherlands,24,Burnley,€23.3M
80,,Quilindschy HartmanD (L),,,
67,241,Portugal,21,West Ham,€23.2M
80.1,,Mateus FernandesM (C),,,
70.9,242,Slovenia,27,Leeds Utd,€22.5M
71.4,,Jaka BijolD (C),,,
74.3,243,Wales,25,Leeds Utd,€22.4M
78.5,,"Ethan AmpaduDM, M, D (C)",,,
67.3,244,France,26,Sunderland,€22.3M
69.5,,Enzo Le FéeM (CL),,,
72,245,Netherlands,23,Sunderland,€22.2M
82.7,,Robin RoefsGK,,,
70.7,246,Denmark,25,Brighton,€22.2M
75.7,,Matt O'RileyM (C),,,
86.4,247,Portugal,31,Man City,€22.1M
86.4,,Bernardo Silva  M (CR),,,
83.2,248,Brazil,28,Arsenal,€21.9M
83.2,,Gabriel JesusF (C),,,
70.4,249,France,26,West Ham,€21.5M
72.7,,Jean-Clair TodiboD (CR),,,
70.9,250,England,26,C. Palace,€21.4M
72.3,,Eddie NketiahF (C),,,
70.4,251,Netherlands,26,Leeds Utd,€21M
70.6,,Pascal StruijkD (CL),,,
68.8,252,Portugal,26,Burnley,€20.9M
72,,"FlorentinoDM, M (C)",,,
69.2,253,England,26,Everton,€20.8M
70.6,,"Dwight McNeilF (L), M (CL)",,,
67.4,254,Beto,28,Everton,€20.7M
67.7,,BetoF (C),,,
73.6,255,Wales,24,N. Forest,€20.4M
77.3,,Neco WilliamsD (RL),,,
66.7,256,France,27,Wolves,€20.2M
67,,Jean-Ricner BellegardeM (C),,,
58.5,257,Norway,19,Man City,€20.1M
77,,Sverre NypanM (C),,,
66.7,258,Italy,28,Liverpool,€20.1M
66.7,,Federico ChiesaF (CR),,,
64.1,259,Denmark,23,Chelsea,€20M
69.5,,Filip JørgensenGK,,,
73.5,260,Mali,26,C. Palace,€20M
76.5,,"Cheick DoucouréDM, M (C)",,,
62.3,261,Czech Republic,23,Tottenham,€20M
71.8,,Antonín KinskýGK,,,
69.6,262,Scotland,23,Brentford,€19.9M
76,,Aaron HickeyD (RL),,,
67.6,263,Czech Republic,26,Wolves,€19.9M
67.6,,Ladislav KrejciD (CL),,,
66.2,264,Nigeria,22,C. Palace,€19.8M
75.7,,"Christantus UcheF, M (C)",,,
80.7,265,Belgium,31,Arsenal,€19.8M
80.7,,"Leandro TrossardF (CL), M (L)",,,
59.8,266,Denmark,22,Newcastle,€19.8M
66.4,,William OsulaF (C),,,
66.3,267,France,22,West Ham,€19.7M
74.8,,"Soungoutou MagassaDM, M (C), D (L)",,,
65.3,268,France,22,Burnley,€19.7M
75.1,,"Loum TchaounaF (CR), M (R)",,,
66.3,269,France,19,B'mouth,€19.3M
80.6,,Eli KroupiF (C),,,
71.1,270,Brazil,28,Tottenham,€19.3M
71.9,,Richarlison F (C),,,
71.3,271,Argentina,28,B'mouth,€19.1M
71.3,,Marcos SenesiD (C),,,
68.9,272,England,25,Fulham,€18.9M
72.1,,"Ryan SessegnonD, M (L)",,,
61.9,273,Denmark,25,West Ham,€18.9M
64.1,,Mads HermansenGK,,,
69.3,274,Greece,28,West Ham,€18.8M
69.3,,Konstantinos MavropanosD (C),,,
65.2,275,Brazil,28,Leeds Utd,€18.8M
65.2,,Lucas PerriGK,,,
60.9,276,France,25,Sunderland,€18.7M
64.5,,Wilson IsidorF (C),,,
77.1,277,Scotland,31,A. Villa,€18.7M
77.1,,John McGinnM (CRL),,,
76.1,278,England,25,A. Villa,€18.6M
79.6,,"Jadon SanchoM (RL), AM (L)",,,
63,279,Tunisia,23,Burnley,€18.5M
70.3,,"HannibalAM, M (C)",,,
66.9,280,Mali,29,Tottenham,€18.5M
66.9,,"Yves BissoumaDM, M (C)",,,
68.9,281,Netherlands,31,Man City,€18.4M
68.9,,Nathan AkéD (CL),,,
61.8,282,Brazil,21,N. Forest,€18.3M
73.8,,Jair Cunha D (C),,,
67.3,283,Brazil,24,N. Forest,€18.2M
72.8,,MoratoD (CL),,,
66.2,284,England,27,Newcastle,€18.1M
66.9,,Aaron RamsdaleGK,,,
71.8,285,Argentina,23,Everton,€18M
79.6,,Carlos AlcarazM (CL),,,
77.4,286,Wales,28,Fulham,€17.9M
77.4,,"Harry WilsonF (R), M (CR)",,,
66.1,287,France,28,Brighton,€17.9M
66.8,,Olivier BoscagliD (C),,,
78.7,288,Argentina,33,A. Villa,€17.8M
78.7,,Emiliano MartínezGK,,,
73.2,289,Norway,27,Brentford,€17.8M
73.2,,Kristoffer AjerD (CRL),,,
76.4,290,United States,25,Leeds Utd,€17.7M
78.5,,Brenden AaronsonM (C),,,
75.4,291,England,28,Leeds Utd,€17.7M
76.2,,Sean LongstaffM (C),,,
72.8,292,Argentina,27,N. Forest,€17.7M
73.1,,"Nicolás DomínguezM, DM (C)",,,
72.9,293,United States,25,C. Palace,€17.6M
77.6,,Chris RichardsD (CR),,,
70.6,294,England,26,Burnley,€17.6M
72.8,,"Jaidon AnthonyF (L), M (RL)",,,
70.8,295,England,28,Leeds Utd,€17.5M
70.8,,Dominic Calvert-LewinF (C),,,
70.5,296,Germany,27,Leeds Utd,€17.5M
71.2,,"Anton StachDM, M (C)",,,
71.2,297,Switzerland,25,Leeds Utd,€17.4M
72.4,,Noah OkaforF (CL),,,
71.8,298,England,25,Wolves,€17.4M
75.3,,"Angel GomesM, DM (C)",,,
72,299,England,29,B'mouth,€17.4M
72,,"Lewis CookM, DM (C), D (R)",,,
77.5,300,England,32,Everton,€17.4M
77.5,,Jordan PickfordGK,,,
76,301,Germany,27,Brentford,€17.1M
76,,"Vitaly JaneltDM, M (C)",,,
69.9,302,Cameroon,24,Wolves,€17M
73,,"Jackson TchatchouaD, M (R)",,,
61.9,303,Morocco,22,C. Palace,€16.8M
