player_name,normalized_name,club_name,normalized_club,age,position,position_group,league_name,current_value_gbp,peak_value_gbp,trajectory
Stefanos Tzimas,stefanos tzimas,,,0,,,Premier League,24080000.0,24080000.0,
Wilson Odobert,wilson odobert,,,0,,,Premier League,24080000.0,24080000.0,
Wesley Fofana,wesley fofana,,,0,,,Premier League,23994000.0,23994000.0,
Chemsdine Talbi,chemsdine talbi,,,0,,,Premier League,23822000.0,23822000.0,
Facundo Buonanotte,facundo buonanotte,,,0,,,Premier League,23822000.0,23822000.0,
Keane Lewis-Potter,keane lewis-potter,,,0,,,Premier League,23822000.0,23822000.0,
Maximilian Kilman,maximilian kilman,,,0,,,Premier League,23822000.0,23822000.0,
Antoni Milambo,antoni milambo,,,0,,,Premier League,23736000.0,23736000.0,
Tolu Arokodare,tolu arokodare,,,0,,,Premier League,23650000.0,23650000.0,
David Raya,david raya,,,0,,,Premier League,23564000.0,23564000.0,
Mamadou Sarr,mamadou sarr,,,0,,,Premier League,23564000.0,23564000.0,
Matty Cash,matty cash,,,0,,,Premier League,23564000.0,23564000.0,
Kevin Danso,kevin danso,,,0,,,Premier League,23478000.0,23478000.0,
Lesley Ugochukwu,lesley ugochukwu,,,0,,,Premier League,23392000.0,23392000.0,
Sander Berge,sander berge,,,0,,,Premier League,23392000.0,23392000.0,
Jarrad Branthwaite,jarrad branthwaite,,,0,,,Premier League,23306000.0,23306000.0,
Yoane Wissa,yoane wissa,,,0,,,Premier League,23134000.0,23134000.0,
Tyrique George,tyrique george,,,0,,,Premier League,23048000.0,23048000.0,
Douglas Luiz,douglas luiz,,,0,,,Premier League,22876000.0,22876000.0,
Omari Hutchinson,omari hutchinson,,,0,,,Premier League,22618000.0,22618000.0,
Radu Dr?gu?in,radu dr?gu?in,,,0,,,Premier League,22618000.0,22618000.0,
Emile Smith Rowe,emile smith rowe,,,0,,,Premier League,22532000.0,22532000.0,
Josh Acheampong,josh acheampong,,,0,,,Premier League,22532000.0,22532000.0,
Rio Ngumoha,rio ngumoha,,,0,,,Premier League,22532000.0,22532000.0,
Wilfried Gnonto,wilfried gnonto,,,0,,,Premier League,22446000.0,22446000.0,
Rodrigo Bentancur,rodrigo bentancur,,,0,,,Premier League,22360000.0,22360000.0,
Igor Jesus,igor jesus,,,0,,,Premier League,22274000.0,22274000.0,
Caoimhín Kelleher,caoimhín kelleher,,,0,,,Premier League,22188000.0,22188000.0,
Brian Brobbey,brian brobbey,,,0,,,Premier League,22102000.0,22102000.0,
James McAtee,james mcatee,,,0,,,Premier League,22016000.0,22016000.0,
Igor Thiago,igor thiago,,,0,,,Premier League,21930000.0,21930000.0,
Crysencio Summerville,crysencio summerville,,,0,,,Premier League,21844000.0,21844000.0,
Adrien Truffert,adrien truffert,,,0,,,Premier League,21672000.0,21672000.0,
Taty Castellanos,taty castellanos,,,0,,,Premier League,21672000.0,21672000.0,
Benoît Badiashile,benoît badiashile,,,0,,,Premier League,21586000.0,21586000.0,
Tyler Adams,tyler adams,,,0,,,Premier League,21586000.0,21586000.0,
Amine Adli,amine adli,,,0,,,Premier League,21414000.0,21414000.0,
Maxim De Cuyper,maxim de cuyper,,,0,,,Premier League,21414000.0,21414000.0,
Jack Grealish,jack grealish,,,0,,,Premier League,21328000.0,21328000.0,
Aaron Wan-Bissaka,aaron wan-bissaka,,,0,,,Premier League,21242000.0,21242000.0,
Axel Disasi,axel disasi,,,0,,,Premier League,21242000.0,21242000.0,
Ben Gannon-Doak,ben gannon-doak,,,0,,,Premier League,21242000.0,21242000.0,
Lutsharel Geertruida,lutsharel geertruida,,,0,,,Premier League,21242000.0,21242000.0,
Eliezer Mayenda,eliezer mayenda,,,0,,,Premier League,21156000.0,21156000.0,
Marcus Tavernier,marcus tavernier,,,0,,,Premier League,21070000.0,21070000.0,
Ibrahim Sangaré,ibrahim sangaré,,,0,,,Premier League,20984000.0,20984000.0,
Robert Sánchez,robert sánchez,,,0,,,Premier League,20898000.0,20898000.0,
Jake O'Brien,jake o'brien,,,0,,,Premier League,20726000.0,20726000.0,
Noah Sadiki,noah sadiki,,,0,,,Premier League,20640000.0,20640000.0,
Veljko Milosavljevic,veljko milosavljevic,,,0,,,Premier League,20468000.0,20468000.0,
Noussair Mazraoui,noussair mazraoui,,,0,,,Premier League,20382000.0,20382000.0,
Álex Jiménez,álex jiménez,,,0,,,Premier League,20296000.0,20296000.0,
Tosin Adarabioyo,tosin adarabioyo,,,0,,,Premier League,20210000.0,20210000.0,
Trai Hume,trai hume,,,0,,,Premier League,20210000.0,20210000.0,
Ola Aina,ola aina,,,0,,,Premier League,20124000.0,20124000.0,
Quilindschy Hartman,quilindschy hartman,,,0,,,Premier League,20038000.0,20038000.0,
Mateus Fernandes,mateus fernandes,,,0,,,Premier League,19952000.0,19952000.0,
Jaka Bijol,jaka bijol,,,0,,,Premier League,19350000.0,19350000.0,
Ethan Ampadu,ethan ampadu,,,0,,,Premier League,19264000.0,19264000.0,
Enzo Le Fée,enzo le fée,,,0,,,Premier League,19178000.0,19178000.0,
Matt O'Riley,matt o'riley,,,0,,,Premier League,19092000.0,19092000.0,
Robin Roefs,robin roefs,,,0,,,Premier League,19092000.0,19092000.0,
Bernardo Silva,bernardo silva,,,0,,,Premier League,19006000.0,19006000.0,
Gabriel Jesus,gabriel jesus,,,0,,,Premier League,18834000.0,18834000.0,
Jean-Clair Todibo,jean-clair todibo,,,0,,,Premier League,18490000.0,18490000.0,
Eddie Nketiah,eddie nketiah,,,0,,,Premier League,18404000.0,18404000.0,
Pascal Struijk,pascal struijk,,,0,,,Premier League,18060000.0,18060000.0,
Florentino,florentino,,,0,,,Premier League,17974000.0,17974000.0,
Dwight McNeil,dwight mcneil,,,0,,,Premier League,17888000.0,17888000.0,
Beto,beto,,,0,,,Premier League,17802000.0,17802000.0,
Neco Williams,neco williams,,,0,,,Premier League,17544000.0,17544000.0,
Jean-Ricner Bellegarde,jean-ricner bellegarde,,,0,,,Premier League,17372000.0,17372000.0,
Federico Chiesa,federico chiesa,,,0,,,Premier League,17286000.0,17286000.0,
Sverre Nypan,sverre nypan,,,0,,,Premier League,17286000.0,17286000.0,
Antonín Kinský,antonín kinský,,,0,,,Premier League,17200000.0,17200000.0,
