player_name,club_name,position_name,minutes,total_points,points_per_game,goals_scored,assists,clean_sheets,goals_conceded,saves,defensive_contribution,yellow_cards,red_cards,bonus
Samuel Chukwueze,Fulham,MID,743,50,3.3,3,4,1,16,0,60,0,0,1
Alejandro Garnacho,Chelsea,MID,983,49,2.7,1,4,4,13,0,55,1,0,3
Hannibal Hannibal,Burnley,MID,874,49,2.3,1,4,1,22,0,84,6,0,4
Josh Laurent,Burnley,MID,1399,48,1.8,1,0,1,34,0,150,6,0,1
Curtis C.Jones,Liverpool,MID,1234,47,1.9,0,2,3,23,0,136,1,0,1
Dan Ndoye,Nott'm Forest,MID,1111,47,2.2,1,2,2,17,0,94,1,0,4
David Brooks,Bournemouth,MID,1014,46,2.0,1,2,4,18,0,79,7,0,4
Wilson Odobert,Spurs,MID,972,46,1.9,0,2,2,13,0,77,0,0,6
Mason Mount,Man Utd,MID,812,46,2.7,3,0,3,14,0,62,0,0,3
Jhon J.Arias,Wolves,MID,1117,45,2.0,1,0,2,21,0,125,1,0,2
Hwang Hee Chan,Wolves,MID,1144,44,2.2,2,1,2,22,0,68,3,0,0
Sean Longstaff,Leeds,MID,943,44,2.6,1,2,1,19,0,100,2,0,4
Habib Diarra,Sunderland,MID,925,44,3.7,2,3,4,9,0,55,4,0,3
Kevin Kevin,Fulham,MID,898,43,1.9,1,2,4,15,0,75,1,0,0
Marcus Edwards,Burnley,MID,867,43,2.5,1,3,1,15,0,51,0,0,2
Gabriel Martinelli,Arsenal,MID,810,43,1.8,1,3,2,5,0,62,2,0,1
Tanaka Tanaka,Leeds,MID,737,43,2.1,2,0,2,16,0,83,1,0,2
Josh King,Fulham,MID,984,41,1.8,0,2,4,15,0,80,3,0,0
Carlos Baleba,Brighton,MID,1261,40,1.7,0,0,4,17,0,152,5,0,0
Justin Kluivert,Bournemouth,MID,914,40,2.2,2,0,4,18,0,62,4,0,3
Dwight McNeil,Everton,MID,781,40,2.5,0,3,4,5,0,77,1,0,1
Will Hughes,Crystal Palace,MID,1231,39,1.5,0,1,5,13,0,121,6,0,0
Anthony Elanga,Newcastle,MID,1131,39,1.6,0,1,2,25,0,47,0,0,0
Kobbie Mainoo,Man Utd,MID,933,39,1.9,0,2,3,14,0,97,0,0,0
Soungoutou S.Magassa,West Ham,MID,931,39,2.2,1,0,2,23,0,120,3,0,2
